Ref_Date,GEO,CHAR,DURATION,Vector,Coordinate,Value
2006,Canada,"Travel duration, total, same day and overnight travel","Total travel (x 1,000)",v52856946,1.1.1,207470.0
2007,Canada,"Travel duration, total, same day and overnight travel","Total travel (x 1,000)",v52856946,1.1.1,214559.0
2008,Canada,"Travel duration, total, same day and overnight travel","Total travel (x 1,000)",v52856946,1.1.1,214498.0
2009,Canada,"Travel duration, total, same day and overnight travel","Total travel (x 1,000)",v52856946,1.1.1,227121.0
2010,Canada,"Travel duration, total, same day and overnight travel","Total travel (x 1,000)",v52856946,1.1.1,229158.0
2006,Canada,"Travel duration, same day","Total travel (x 1,000)",v52856947,1.2.1,120826.0
2007,Canada,"Travel duration, same day","Total travel (x 1,000)",v52856947,1.2.1,126017.0
2008,Canada,"Travel duration, same day","Total travel (x 1,000)",v52856947,1.2.1,126851.0
2009,Canada,"Travel duration, same day","Total travel (x 1,000)",v52856947,1.2.1,135735.0
2010,Canada,"Travel duration, same day","Total travel (x 1,000)",v52856947,1.2.1,137016.0
2006,Canada,"Travel duration, overnight","Total travel (x 1,000)",v52856948,1.3.1,86644.0
2007,Canada,"Travel duration, overnight","Total travel (x 1,000)",v52856948,1.3.1,88541.0
2008,Canada,"Travel duration, overnight","Total travel (x 1,000)",v52856948,1.3.1,87647.0
2009,Canada,"Travel duration, overnight","Total travel (x 1,000)",v52856948,1.3.1,91386.0
2010,Canada,"Travel duration, overnight","Total travel (x 1,000)",v52856948,1.3.1,92143.0
2006,Canada,"Type of travel, non-residents travel","Total travel (x 1,000)",v52856949,1.4.1,17946.0
2007,Canada,"Type of travel, non-residents travel","Total travel (x 1,000)",v52856949,1.4.1,19001.0
2008,Canada,"Type of travel, non-residents travel","Total travel (x 1,000)",v52856949,1.4.1,17284.0
2009,Canada,"Type of travel, non-residents travel","Total travel (x 1,000)",v52856949,1.4.1,18162.0
2010,Canada,"Type of travel, non-residents travel","Total travel (x 1,000)",v52856949,1.4.1,19090.0
2006,Canada,"Type of travel, non-residents travel","Overnight travel (x 1,000)",v52856950,1.4.2,14042.0
2007,Canada,"Type of travel, non-residents travel","Overnight travel (x 1,000)",v52856950,1.4.2,14973.0
2008,Canada,"Type of travel, non-residents travel","Overnight travel (x 1,000)",v52856950,1.4.2,13786.0
2009,Canada,"Type of travel, non-residents travel","Overnight travel (x 1,000)",v52856950,1.4.2,14257.0
2010,Canada,"Type of travel, non-residents travel","Overnight travel (x 1,000)",v52856950,1.4.2,15185.0
2006,Canada,"Type of travel, intraprovincial travel","Total travel (x 1,000)",v52856951,1.5.1,189524.0
2007,Canada,"Type of travel, intraprovincial travel","Total travel (x 1,000)",v52856951,1.5.1,195557.0
2008,Canada,"Type of travel, intraprovincial travel","Total travel (x 1,000)",v52856951,1.5.1,197214.0
2009,Canada,"Type of travel, intraprovincial travel","Total travel (x 1,000)",v52856951,1.5.1,208959.0
2010,Canada,"Type of travel, intraprovincial travel","Total travel (x 1,000)",v52856951,1.5.1,210068.0
2006,Canada,"Type of travel, intraprovincial travel","Overnight travel (x 1,000)",v52856952,1.5.2,72602.0
2007,Canada,"Type of travel, intraprovincial travel","Overnight travel (x 1,000)",v52856952,1.5.2,73569.0
2008,Canada,"Type of travel, intraprovincial travel","Overnight travel (x 1,000)",v52856952,1.5.2,73861.0
2009,Canada,"Type of travel, intraprovincial travel","Overnight travel (x 1,000)",v52856952,1.5.2,77129.0
2010,Canada,"Type of travel, intraprovincial travel","Overnight travel (x 1,000)",v52856952,1.5.2,76958.0
2006,Canada,"Age and sex, males, 18 years and over","Total travel (x 1,000)",v52856953,1.6.1,107977.0
2007,Canada,"Age and sex, males, 18 years and over","Total travel (x 1,000)",v52856953,1.6.1,112165.0
2008,Canada,"Age and sex, males, 18 years and over","Total travel (x 1,000)",v52856953,1.6.1,111787.0
2009,Canada,"Age and sex, males, 18 years and over","Total travel (x 1,000)",v52856953,1.6.1,117210.0
2010,Canada,"Age and sex, males, 18 years and over","Total travel (x 1,000)",v52856953,1.6.1,120842.0
2006,Canada,"Age and sex, males, 18 years and over","Overnight travel (x 1,000)",v52856954,1.6.2,42832.0
2007,Canada,"Age and sex, males, 18 years and over","Overnight travel (x 1,000)",v52856954,1.6.2,43897.0
2008,Canada,"Age and sex, males, 18 years and over","Overnight travel (x 1,000)",v52856954,1.6.2,43068.0
2009,Canada,"Age and sex, males, 18 years and over","Overnight travel (x 1,000)",v52856954,1.6.2,45819.0
2010,Canada,"Age and sex, males, 18 years and over","Overnight travel (x 1,000)",v52856954,1.6.2,45743.0
2006,Canada,"Age and sex, females, 18 years and over","Total travel (x 1,000)",v52856955,1.7.1,99493.0
2007,Canada,"Age and sex, females, 18 years and over","Total travel (x 1,000)",v52856955,1.7.1,102393.0
2008,Canada,"Age and sex, females, 18 years and over","Total travel (x 1,000)",v52856955,1.7.1,102711.0
2009,Canada,"Age and sex, females, 18 years and over","Total travel (x 1,000)",v52856955,1.7.1,109911.0
2010,Canada,"Age and sex, females, 18 years and over","Total travel (x 1,000)",v52856955,1.7.1,108317.0
2006,Canada,"Age and sex, females, 18 years and over","Overnight travel (x 1,000)",v52856956,1.7.2,43812.0
2007,Canada,"Age and sex, females, 18 years and over","Overnight travel (x 1,000)",v52856956,1.7.2,44645.0
2008,Canada,"Age and sex, females, 18 years and over","Overnight travel (x 1,000)",v52856956,1.7.2,44580.0
2009,Canada,"Age and sex, females, 18 years and over","Overnight travel (x 1,000)",v52856956,1.7.2,45566.0
2010,Canada,"Age and sex, females, 18 years and over","Overnight travel (x 1,000)",v52856956,1.7.2,46400.0
2006,Canada,"Marital status, married","Total travel (x 1,000)",v52856957,1.8.1,107184.0
2007,Canada,"Marital status, married","Total travel (x 1,000)",v52856957,1.8.1,112395.0
2008,Canada,"Marital status, married","Total travel (x 1,000)",v52856957,1.8.1,113416.0
2009,Canada,"Marital status, married","Total travel (x 1,000)",v52856957,1.8.1,115926.0
2010,Canada,"Marital status, married","Total travel (x 1,000)",v52856957,1.8.1,119209.0
2006,Canada,"Marital status, married","Overnight travel (x 1,000)",v52856958,1.8.2,42870.0
2007,Canada,"Marital status, married","Overnight travel (x 1,000)",v52856958,1.8.2,43494.0
2008,Canada,"Marital status, married","Overnight travel (x 1,000)",v52856958,1.8.2,43441.0
2009,Canada,"Marital status, married","Overnight travel (x 1,000)",v52856958,1.8.2,44098.0
2010,Canada,"Marital status, married","Overnight travel (x 1,000)",v52856958,1.8.2,44438.0
2006,Canada,"Marital status, living in common law","Total travel (x 1,000)",v52856959,1.9.1,28449.0
2007,Canada,"Marital status, living in common law","Total travel (x 1,000)",v52856959,1.9.1,28629.0
2008,Canada,"Marital status, living in common law","Total travel (x 1,000)",v52856959,1.9.1,29462.0
2009,Canada,"Marital status, living in common law","Total travel (x 1,000)",v52856959,1.9.1,33226.0
2010,Canada,"Marital status, living in common law","Total travel (x 1,000)",v52856959,1.9.1,33090.0
2006,Canada,"Marital status, living in common law","Overnight travel (x 1,000)",v52856960,1.9.2,10838.0
2007,Canada,"Marital status, living in common law","Overnight travel (x 1,000)",v52856960,1.9.2,11548.0
2008,Canada,"Marital status, living in common law","Overnight travel (x 1,000)",v52856960,1.9.2,11691.0
2009,Canada,"Marital status, living in common law","Overnight travel (x 1,000)",v52856960,1.9.2,12597.0
2010,Canada,"Marital status, living in common law","Overnight travel (x 1,000)",v52856960,1.9.2,13244.0
2006,Canada,"Marital status, widowed","Total travel (x 1,000)",v52856961,1.10.1,6294.0
2007,Canada,"Marital status, widowed","Total travel (x 1,000)",v52856961,1.10.1,5855.0
2008,Canada,"Marital status, widowed","Total travel (x 1,000)",v52856961,1.10.1,5778.0
2009,Canada,"Marital status, widowed","Total travel (x 1,000)",v52856961,1.10.1,6470.0
2010,Canada,"Marital status, widowed","Total travel (x 1,000)",v52856961,1.10.1,7021.0
2006,Canada,"Marital status, widowed","Overnight travel (x 1,000)",v52856962,1.10.2,2522.0
2007,Canada,"Marital status, widowed","Overnight travel (x 1,000)",v52856962,1.10.2,2390.0
2008,Canada,"Marital status, widowed","Overnight travel (x 1,000)",v52856962,1.10.2,2294.0
2009,Canada,"Marital status, widowed","Overnight travel (x 1,000)",v52856962,1.10.2,2618.0
2010,Canada,"Marital status, widowed","Overnight travel (x 1,000)",v52856962,1.10.2,2957.0
2006,Canada,"Marital status, separated","Total travel (x 1,000)",v52856963,1.11.1,4775.0
2007,Canada,"Marital status, separated","Total travel (x 1,000)",v52856963,1.11.1,5093.0
2008,Canada,"Marital status, separated","Total travel (x 1,000)",v52856963,1.11.1,5561.0
2009,Canada,"Marital status, separated","Total travel (x 1,000)",v52856963,1.11.1,6077.0
2010,Canada,"Marital status, separated","Total travel (x 1,000)",v52856963,1.11.1,5639.0
2006,Canada,"Marital status, separated","Overnight travel (x 1,000)",v52856964,1.11.2,2114.0
2007,Canada,"Marital status, separated","Overnight travel (x 1,000)",v52856964,1.11.2,2036.0
2008,Canada,"Marital status, separated","Overnight travel (x 1,000)",v52856964,1.11.2,2085.0
2009,Canada,"Marital status, separated","Overnight travel (x 1,000)",v52856964,1.11.2,2301.0
2010,Canada,"Marital status, separated","Overnight travel (x 1,000)",v52856964,1.11.2,2280.0
2006,Canada,"Marital status, divorced","Total travel (x 1,000)",v52856965,1.12.1,9566.0
2007,Canada,"Marital status, divorced","Total travel (x 1,000)",v52856965,1.12.1,9636.0
2008,Canada,"Marital status, divorced","Total travel (x 1,000)",v52856965,1.12.1,9149.0
2009,Canada,"Marital status, divorced","Total travel (x 1,000)",v52856965,1.12.1,10422.0
2010,Canada,"Marital status, divorced","Total travel (x 1,000)",v52856965,1.12.1,10188.0
2006,Canada,"Marital status, divorced","Overnight travel (x 1,000)",v52856966,1.12.2,3887.0
2007,Canada,"Marital status, divorced","Overnight travel (x 1,000)",v52856966,1.12.2,4089.0
2008,Canada,"Marital status, divorced","Overnight travel (x 1,000)",v52856966,1.12.2,3979.0
2009,Canada,"Marital status, divorced","Overnight travel (x 1,000)",v52856966,1.12.2,4110.0
2010,Canada,"Marital status, divorced","Overnight travel (x 1,000)",v52856966,1.12.2,4026.0
2006,Canada,"Marital status, single, never married","Total travel (x 1,000)",v52856967,1.13.1,51202.0
2007,Canada,"Marital status, single, never married","Total travel (x 1,000)",v52856967,1.13.1,52951.0
2008,Canada,"Marital status, single, never married","Total travel (x 1,000)",v52856967,1.13.1,51131.0
2009,Canada,"Marital status, single, never married","Total travel (x 1,000)",v52856967,1.13.1,55000.0
2010,Canada,"Marital status, single, never married","Total travel (x 1,000)",v52856967,1.13.1,54012.0
2006,Canada,"Marital status, single, never married","Overnight travel (x 1,000)",v52856968,1.13.2,24412.0
2007,Canada,"Marital status, single, never married","Overnight travel (x 1,000)",v52856968,1.13.2,24983.0
2008,Canada,"Marital status, single, never married","Overnight travel (x 1,000)",v52856968,1.13.2,24158.0
2009,Canada,"Marital status, single, never married","Overnight travel (x 1,000)",v52856968,1.13.2,25661.0
2010,Canada,"Marital status, single, never married","Overnight travel (x 1,000)",v52856968,1.13.2,25197.0
2006,Canada,"Income level, under $25,000","Total travel (x 1,000)",v52856969,1.14.1,18285.0
2007,Canada,"Income level, under $25,000","Total travel (x 1,000)",v52856969,1.14.1,17043.0
2008,Canada,"Income level, under $25,000","Total travel (x 1,000)",v52856969,1.14.1,16069.0
2009,Canada,"Income level, under $25,000","Total travel (x 1,000)",v52856969,1.14.1,17741.0
2010,Canada,"Income level, under $25,000","Total travel (x 1,000)",v52856969,1.14.1,17211.0
2006,Canada,"Income level, under $25,000","Overnight travel (x 1,000)",v52856970,1.14.2,7579.0
2007,Canada,"Income level, under $25,000","Overnight travel (x 1,000)",v52856970,1.14.2,7022.0
2008,Canada,"Income level, under $25,000","Overnight travel (x 1,000)",v52856970,1.14.2,6756.0
2009,Canada,"Income level, under $25,000","Overnight travel (x 1,000)",v52856970,1.14.2,7547.0
2010,Canada,"Income level, under $25,000","Overnight travel (x 1,000)",v52856970,1.14.2,7161.0
2006,Canada,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52856971,1.15.1,41877.0
2007,Canada,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52856971,1.15.1,41121.0
2008,Canada,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52856971,1.15.1,40210.0
2009,Canada,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52856971,1.15.1,40136.0
2010,Canada,"Income level, $25,000 to $49,999","Total travel (x 1,000)",v52856971,1.15.1,41888.0
2006,Canada,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52856972,1.15.2,16050.0
2007,Canada,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52856972,1.15.2,15523.0
2008,Canada,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52856972,1.15.2,14503.0
2009,Canada,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52856972,1.15.2,15301.0
2010,Canada,"Income level, $25,000 to $49,999","Overnight travel (x 1,000)",v52856972,1.15.2,15401.0
2006,Canada,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52856973,1.16.1,43725.0
2007,Canada,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52856973,1.16.1,45154.0
2008,Canada,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52856973,1.16.1,44477.0
2009,Canada,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52856973,1.16.1,48562.0
2010,Canada,"Income level, $50,000 to $74,999","Total travel (x 1,000)",v52856973,1.16.1,44459.0
2006,Canada,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52856974,1.16.2,17455.0
2007,Canada,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52856974,1.16.2,17765.0
2008,Canada,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52856974,1.16.2,16727.0
2009,Canada,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52856974,1.16.2,17788.0
2010,Canada,"Income level, $50,000 to $74,999","Overnight travel (x 1,000)",v52856974,1.16.2,16328.0
2006,Canada,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52856975,1.17.1,32910.0
2007,Canada,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52856975,1.17.1,34869.0
2008,Canada,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52856975,1.17.1,33128.0
2009,Canada,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52856975,1.17.1,34876.0
2010,Canada,"Income level, $75,000 to $99,999","Total travel (x 1,000)",v52856975,1.17.1,34676.0
2006,Canada,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52856976,1.17.2,13534.0
2007,Canada,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52856976,1.17.2,13303.0
2008,Canada,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52856976,1.17.2,13557.0
2009,Canada,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52856976,1.17.2,13204.0
2010,Canada,"Income level, $75,000 to $99,999","Overnight travel (x 1,000)",v52856976,1.17.2,13957.0
2006,Canada,"Income level, $100,000 and over","Total travel (x 1,000)",v52856977,1.18.1,48756.0
2007,Canada,"Income level, $100,000 and over","Total travel (x 1,000)",v52856977,1.18.1,53622.0
2008,Canada,"Income level, $100,000 and over","Total travel (x 1,000)",v52856977,1.18.1,58415.0
2009,Canada,"Income level, $100,000 and over","Total travel (x 1,000)",v52856977,1.18.1,63445.0
2010,Canada,"Income level, $100,000 and over","Total travel (x 1,000)",v52856977,1.18.1,67359.0
2006,Canada,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52856978,1.18.2,22563.0
2007,Canada,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52856978,1.18.2,25292.0
2008,Canada,"Income level, $100,000 and over","Overnight travel (x 1,000)",v52856978,1.18.2,26689.0
