Ref_Date,UOM,GEO,DURATION,AGE,Vector,Coordinate,Value
1980,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,110997.0
1982,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,101642.0
1984,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,96791.0
1986,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,116690.0
1988,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,133273.0
1990,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,133830.0
1992,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,157857.0
1994,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,159046.0
1996,Person-trips,Canada,"Total, same day and overnight travel","All ages (x 1,000)",v130938,1.1.1.1,137524.0
1980,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,22570.0
1982,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,18440.0
1984,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,18549.0
1986,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,19858.0
1988,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,25159.0
1990,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,24237.0
1992,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,23456.0
1994,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,24949.0
1996,Person-trips,Canada,"Total, same day and overnight travel","Under 15 years (x 1,000)",v130941,1.1.1.2,21581.0
1980,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,8509.0
1982,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,7187.0
1984,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,5919.0
1986,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,7168.0
1988,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,7017.0
1990,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,6925.0
1992,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,8768.0
1994,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,9418.0
1996,Person-trips,Canada,"Total, same day and overnight travel","15-19 years (x 1,000)",v130944,1.1.1.3,7559.0
1980,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,13398.0
1982,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,10873.0
1984,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,9047.0
1986,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,12037.0
1988,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,11659.0
1990,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,9884.0
1992,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,12444.0
1994,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,12037.0
1996,Person-trips,Canada,"Total, same day and overnight travel","20-24 years (x 1,000)",v130947,1.1.1.4,10359.0
1980,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,24145.0
1982,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,23348.0
1984,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,21842.0
1986,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,25480.0
1988,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,29468.0
1990,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,28194.0
1992,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,33312.0
1994,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,30052.0
1996,Person-trips,Canada,"Total, same day and overnight travel","25-34 years (x 1,000)",v130950,1.1.1.5,25295.0
1980,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,16590.0
1982,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,16024.0
1984,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,16414.0
1986,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,20971.0
1988,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,24368.0
1990,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,26478.0
1992,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,32603.0
1994,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,32841.0
1996,Person-trips,Canada,"Total, same day and overnight travel","35-44 years (x 1,000)",v130953,1.1.1.6,27658.0
1980,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,12183.0
1982,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,11460.0
1984,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,11526.0
1986,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,13624.0
1988,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,15913.0
1990,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,18295.0
1992,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,22949.0
1994,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,23202.0
1996,Person-trips,Canada,"Total, same day and overnight travel","45-54 years (x 1,000)",v130956,1.1.1.7,21796.0
1980,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,8843.0
1982,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,9030.0
1984,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,8643.0
1986,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,10888.0
1988,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,11903.0
1990,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,11163.0
1992,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,13112.0
1994,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,15188.0
1996,Person-trips,Canada,"Total, same day and overnight travel","55-64 years (x 1,000)",v130959,1.1.1.8,12856.0
1980,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,2503.0
1982,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,2836.0
1984,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,2481.0
1986,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,3457.0
1988,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,4140.0
1990,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,4393.0
1992,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,5277.0
1994,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,5084.0
1996,Person-trips,Canada,"Total, same day and overnight travel","65-69 years (x 1,000)",v130962,1.1.1.9,4597.0
1980,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,2258.0
1982,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,2444.0
1984,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,2370.0
1986,Person-trips,Canada,"Total, same day and overnight travel","70 years of age and over (x 1,000)",v130965,1.1.1.10,3208.0
